"id","invoice_number","supplier_name","supplier_id","po_number","total_amount","currency","status","cfdi_valid","ingestion_channel","plant_id","current_approver_id","approval_chain","approvals_completed","rejection_reason","last_escalated_at","pending_approval_since","created_at","updated_at","deleted_at"
"00605c53-fb8f-4002-9f8a-d87ea6fed3b5","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 14:59:59.33+05:30","2026-05-26 14:59:59.33+05:30",NULL
"068e13c4-fe99-473e-bb1f-f253b5477375","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 14:40:07.38+05:30","2026-05-26 14:40:07.38+05:30",NULL
"09124f35-51a1-4395-bc3a-911d375274d0","INV-2023-201","Nemak Aluminum","Global Tech Distributors","PO-2001",25000.00,"USD","RECEIVED",True,"EMAIL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 14:54:56.672+05:30","2026-06-03 14:54:56.672+05:30",NULL
"098d40d3-eb2f-40de-8721-3d1677ac8cb5","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 15:28:36.919+05:30","2026-05-26 15:28:36.919+05:30",NULL
"18f91a60-2d0f-4d71-940a-da65dfdebefe","INV-2023-201","Nemak Aluminum","Apex Machinery",NULL,25000.00,"USD","RECEIVED",True,"EMAIL","P-RAM",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 14:59:14.985+05:30","2026-06-03 14:59:14.985+05:30",NULL
"1a18b9ba-154b-402c-9220-74f96f356e68","3122","HEHE","31213","32131",133232.00,"USD","RECEIVED",NULL,"MANUAL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 15:04:39.341+05:30","2026-06-03 15:04:39.341+05:30",NULL
"2f08121b-d255-482f-b515-240b1a34e04f","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","PENDING_REVIEW",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-27 15:07:37.131+05:30","2026-05-27 15:08:59.917+05:30",NULL
"300d63a0-360c-4147-9f1e-8345ef0d8507","3122","Martin","31213","32131242323",133232.00,"USD","RECEIVED",NULL,"MANUAL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 15:06:01.069+05:30","2026-06-03 15:06:01.069+05:30",NULL
"39e1a670-44ee-4c8d-9e55-985825bb0c89","INV-2026-004","Brightway Tooling Inc.","SUP-004","PO-1004",62300.00,"USD","PENDING_APPROVAL",NULL,"EMAIL","PLT-002",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 12:58:29.325+05:30","2026-05-26 12:58:29.325+05:30",NULL
"48116598-f696-4c30-8c86-8a5c3d7b3f4b","INV-2023-201","Nemak Aluminum","Global Tech Distributors","PO-2001",25000.00,"USD","RECEIVED",True,"EMAIL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 13:06:37.856+05:30","2026-06-03 13:06:37.856+05:30",NULL
"53217fdc-6899-4974-a706-4836c6827ecc","INV-2026-003","Industrias Saltillo S.A.","SUP-MX-003","PO-MX-1003",8900.00,"MXN","PENDING_MATCH",False,"PORTAL","PLT-MX-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 12:58:29.321+05:30","2026-05-26 12:58:29.321+05:30",NULL
"590abc7f-d90a-44e3-bf79-1e5b40fb5bc0","INV-232","Dhwaj","SUP-001","PO-342",25000.00,"USD","RECEIVED",True,"EMAIL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-04 16:45:57.003+05:30","2026-06-04 16:45:57.003+05:30",NULL
"62c97213-3f2d-4fb7-bdde-c6162b1e83bb","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-30 18:54:27.562+05:30","2026-05-30 18:54:27.562+05:30",NULL
"72caf719-66bf-4ff8-b7b9-74139e3e2950","342441312","Dhwaj","fwerwr","4234234",25000.00,"USD","RECEIVED",NULL,"EMAIL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-04 16:47:32.094+05:30","2026-06-04 16:47:32.094+05:30",NULL
"7b2d70c4-0b57-49a7-9bd6-70e28c8950a3","INV-2026-001","Acme Steel Co.","SUP-001","PO-1001",5400.00,"USD","PENDING_REVIEW",NULL,"EMAIL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 12:58:29.303+05:30","2026-05-26 12:58:29.303+05:30",NULL
"89345bad-44fe-47ed-9eb5-6edd8863cea6","INV-2023-201","Nemak Aluminum","SUP-001",NULL,25000.00,"USD","RECEIVED",True,"EMAIL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 14:46:58.789+05:30","2026-06-03 14:46:58.789+05:30",NULL
"a310082e-ed90-48f6-98ab-f40bd773e262","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 15:01:10.6+05:30","2026-05-26 15:01:10.6+05:30",NULL
"a9908883-217d-48e1-8b18-6b71e4e8d110","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 14:41:49.854+05:30","2026-05-26 14:41:49.854+05:30",NULL
"b72e0982-091b-409e-a701-9ba98cae41cf","INV-2023-201","Nemak Aluminum","Global Tech Distributors","PO-2001",25000.00,"USD","RECEIVED",True,"MANUAL","P-DET",NULL,NULL,NULL,NULL,NULL,NULL,"2026-06-03 14:58:20.032+05:30","2026-06-03 14:58:20.032+05:30",NULL
"bc74f85a-1afb-4a4b-989e-93a23e561f43","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","PENDING_APPROVAL",True,"PORTAL","PLT-001","e0a72b38-7d91-4768-8826-72959c66cb24","[""e0a72b38-7d91-4768-8826-72959c66cb24"", ""6d7bd11f-be3c-4c6a-a5df-61a762b64721""]","[]",NULL,"2026-06-08 13:00:16.54+05:30","2026-05-30 19:16:16.648+05:30","2026-05-30 18:54:46.16+05:30","2026-06-08 13:00:16.54+05:30",NULL
"bde842f6-c690-47cd-80b4-634322df326f","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","PENDING_APPROVAL",True,"PORTAL","PLT-001","e0a72b38-7d91-4768-8826-72959c66cb24","[""e0a72b38-7d91-4768-8826-72959c66cb24"", ""6d7bd11f-be3c-4c6a-a5df-61a762b64721""]","[]",NULL,"2026-06-08 13:00:08.222+05:30","2026-05-27 15:48:52.263+05:30","2026-05-27 15:42:11.602+05:30","2026-06-08 13:00:08.223+05:30",NULL
"e5c72bcf-1603-4cf0-88d6-57f16ca1ab45","INV-2026-002","Northbridge Castings","SUP-002","PO-1002",12750.50,"USD","PENDING_MATCH",NULL,"SFTP","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-26 12:58:29.317+05:30","2026-05-26 12:58:29.317+05:30",NULL
"f2cf73aa-6d44-4fcd-822d-58221ae77cdc","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","RECEIVED",True,"PORTAL","PLT-001",NULL,NULL,NULL,NULL,NULL,NULL,"2026-05-27 15:07:26.336+05:30","2026-05-27 15:07:26.336+05:30",NULL
"f9ba0a5d-c3f1-454d-9513-e9f64fee4d63","INV-PM-001","Acme Supplies","SUP-100","PO-2026-100",25000.00,"USD","APPROVED",True,"PORTAL","PLT-001",NULL,"[""e0a72b38-7d91-4768-8826-72959c66cb24"", ""6d7bd11f-be3c-4c6a-a5df-61a762b64721""]","[{""decision"": ""APPROVED"", ""timestamp"": ""2026-05-26T11:39:29.900Z"", ""approverId"": ""e0a72b38-7d91-4768-8826-72959c66cb24""}, {""decision"": ""APPROVED"", ""timestamp"": ""2026-05-26T11:46:45.912Z"", ""approverId"": ""6d7bd11f-be3c-4c6a-a5df-61a762b64721""}]",NULL,NULL,NULL,"2026-05-26 17:00:46.262+05:30","2026-05-26 17:16:45.912+05:30",NULL
